Detalle,Largo,Ancho,Cantidad
Faja Superior Frente — Bajo pileta 1200,1163,80,1
Faja Superior Trasera — Bajo pileta 1200,1163,80,1
Piso — Bajo pileta 1200,1163,560,1
Estante 1 — Bajo pileta 1200,1163,545,1
Faja Superior Frente — Cajonera 750,713,80,1
Faja Superior Trasera — Cajonera 750,713,80,1
Piso — Cajonera 750,713,560,1
Techo — Bajo 600 ap  der,563,560,1
Piso — Bajo 600 ap  der,563,560,1
Faja Superior Frente — bajo 600,563,80,1
Piso — bajo 600,563,560,1
Fondo — bajo 600,563,683,1
Lateral Izquierdo — Bajo 600 ap  der,560,720,1
Lateral Derecho — Bajo 600 ap  der,560,720,1
Lateral Izquierdo — Cajonera 750,560,720,1
Lateral Derecho — Cajonera 750,560,720,1
Lateral Izquierdo — bajo 600,560,720,1
Lateral Derecho — bajo 600,560,720,1
Lateral Izquierdo — Bajo pileta 1200,560,720,1
Lateral Derecho — Bajo pileta 1200,560,720,1
